gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
DIP2C | AMEX60DD021672,0.27606496,0.22284856,0.053216398,,,VLMC
LOC115083997[nr]|NACAD[hs] | AMEX60DD026039,0.3273024,0.27410707,0.053195328,,,VLMC
PA2G4 | AMEX60DD029928,0.4047905,0.3516032,0.05318728,,,VLMC
GDI1 | AMEX60DD025639,0.73531944,0.68263984,0.0526796,,,VLMC
EOD39_14333[nr]|SOD1[hs] | AMEX60DD047338,0.6204512,0.56779987,0.052651346,,,VLMC
GLRX2 | AMEX60DD018536,0.61584,0.56323546,0.052604556,,,VLMC
SYNDIG1 | AMEX60DD034472,1.1037374,1.0511336,0.05260372,,,VLMC
UBE2QL1 | AMEX60DD038739,0.71132773,0.6589149,0.052412808,,,VLMC
RPL4 | AMEX60DD003548,1.2873985,1.2350303,0.052368164,,,VLMC
HABP4 | AMEX60DD043038,0.64825606,0.5961178,0.05213827,,,VLMC
PHGDH[nr] | AMEX60DD028113,0.28124288,0.22925763,0.05198525,,,VLMC
DCLK3 | AMEX60DD037968,0.5536825,0.5018704,0.051812112,,,VLMC
DYNC1I2 | AMEX60DD055664,0.39326105,0.3415585,0.05170256,,,VLMC
PRRC2A | AMEX60DD010610,0.57461214,0.5229661,0.051646054,,,VLMC
FAM131A | AMEX60DD001523,0.6177298,0.5662358,0.051494002,,,VLMC
VSTM2A | AMEX60DD038591,0.44807002,0.3966602,0.05140981,,,VLMC
CAMKK2 | AMEX60DD000650,0.3688289,0.31746483,0.051364064,,,VLMC
EIF1B | AMEX60DD022045,0.675766,0.62448883,0.05127716,,,VLMC
AMEX60DD018538,0.3159382,0.26467487,0.051263332,,,VLMC
TSPAN7 | AMEX60DD047663,0.94108856,0.8898683,0.05122024,,,VLMC
RANBP1.L[nr]|RANBP1[hs] | AMEX60DD000167,0.26071286,0.20958047,0.051132396,,,VLMC
ACYP1[nr] | AMEX60DD011147,0.40394822,0.3528859,0.051062316,,,VLMC
HP1BP3 | AMEX60DD051496,0.42001346,0.3690674,0.050946057,,,VLMC
SYN1 | AMEX60DD020991,0.74280137,0.6918788,0.050922573,,,VLMC
ANP32E | AMEX60DD015130,0.5725118,0.5216136,0.050898194,,,VLMC
