gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
PSMB9,0.02549152,0.029608566,-0.0041170456,,,tumor|nontumor
HMGB2,0.027590053,0.03172577,-0.0041357186,,,tumor|nontumor
HLA-A,0.37455297,0.3787008,-0.0041478276,,,tumor|nontumor
FAM83D,0.020436825,0.024609929,-0.0041731037,,,tumor|nontumor
GABRE,0.04033305,0.04452315,-0.0041900985,,,tumor|nontumor
HLA-C,0.2898974,0.29410452,-0.0042071044,,,tumor|nontumor
HNRNPAB,0.12882344,0.13303766,-0.0042142123,,,tumor|nontumor
TRIP13,0.029856857,0.034077656,-0.0042207986,,,tumor|nontumor
PTDSS1,0.05366408,0.057893693,-0.0042296126,,,tumor|nontumor
CHID1,0.04601278,0.050253447,-0.0042406656,,,tumor|nontumor
NARS1,0.03967962,0.04393281,-0.00425319,,,tumor|nontumor
MRPL34,0.028841041,0.033102784,-0.0042617433,,,tumor|nontumor
UQCRB,0.10148131,0.10575761,-0.004276298,,,tumor|nontumor
UBE2S,0.05324539,0.057527404,-0.0042820126,,,tumor|nontumor
TIMM8B,0.035598762,0.039900627,-0.0043018647,,,tumor|nontumor
C12orf57,0.054889098,0.05920061,-0.004311513,,,tumor|nontumor
TIMM13,0.04536697,0.049714636,-0.004347667,,,tumor|nontumor
SRPRB,0.036368903,0.04073455,-0.004365649,,,tumor|nontumor
TFCP2L1,0.027200041,0.03161519,-0.004415149,,,tumor|nontumor
ALYREF,0.050472908,0.0549015,-0.0044285916,,,tumor|nontumor
COLGALT1,0.04402717,0.048469987,-0.0044428185,,,tumor|nontumor
ATP5PB,0.09881953,0.10327391,-0.0044543818,,,tumor|nontumor
PPA1,0.027591264,0.032059524,-0.0044682603,,,tumor|nontumor
NDUFAF8,0.03249048,0.036969297,-0.004478816,,,tumor|nontumor
POLR2B,0.029507605,0.034006335,-0.0044987295,,,tumor|nontumor
GSTK1,0.037521124,0.04203364,-0.004512515,,,tumor|nontumor
SLC39A6,0.0683236,0.07284187,-0.0045182705,,,tumor|nontumor
IER2,0.065230675,0.0697602,-0.0045295283,,,tumor|nontumor
RPS10,0.05286106,0.05739652,-0.004535459,,,tumor|nontumor
GGCT,0.0527276,0.05726307,-0.00453547,,,tumor|nontumor
NDC1,0.037029855,0.041565362,-0.0045355074,,,tumor|nontumor
TRIR,0.120391555,0.12493337,-0.0045418143,,,tumor|nontumor
CDK4,0.06685469,0.07140224,-0.004547544,,,tumor|nontumor
TYROBP,0.043236602,0.047790993,-0.004554391,,,tumor|nontumor
ID1,0.060142986,0.064706445,-0.0045634583,,,tumor|nontumor
COPS9,0.07829563,0.08287729,-0.00458166,,,tumor|nontumor
GPX4,0.09246439,0.09705046,-0.004586071,,,tumor|nontumor
NME1,0.03584579,0.040433276,-0.0045874864,,,tumor|nontumor
SPCS3,0.052181795,0.05678651,-0.004604716,,,tumor|nontumor
SERF2,0.2859947,0.29061416,-0.0046194494,,,tumor|nontumor
RCC2,0.051357705,0.055990167,-0.004632462,,,tumor|nontumor
RBM3,0.11560509,0.120249316,-0.0046442226,,,tumor|nontumor
PPP1CC,0.0656703,0.070320725,-0.004650429,,,tumor|nontumor
FLOT2,0.062938295,0.06759164,-0.004653342,,,tumor|nontumor
SSRP1,0.0680973,0.07279723,-0.0046999305,,,tumor|nontumor
CNN3,0.12338366,0.1280959,-0.0047122315,,,tumor|nontumor
HLA-F,0.10192919,0.106656045,-0.004726857,,,tumor|nontumor
RPL14,0.09040702,0.09513503,-0.004728012,,,tumor|nontumor
BUB3,0.049438257,0.054173797,-0.0047355406,,,tumor|nontumor
PRMT1,0.034114625,0.038879007,-0.004764382,,,tumor|nontumor
SSR1,0.06456707,0.069335565,-0.0047684982,,,tumor|nontumor
NSDHL,0.021761604,0.026535593,-0.0047739893,,,tumor|nontumor
CUTA,0.035971105,0.040761348,-0.0047902428,,,tumor|nontumor
CNDP2,0.038268346,0.043076985,-0.0048086382,,,tumor|nontumor
GADD45A,0.04980982,0.054626524,-0.0048167035,,,tumor|nontumor
