gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
RPL19,0.07816302,0.090672866,-0.012509845,,,molecular layer|rest
ATOX1,0.07146077,0.083994836,-0.012534067,,,molecular layer|rest
DENND5B,0.21193996,0.22471496,-0.012775004,,,molecular layer|rest
SNU13,0.16982715,0.18262266,-0.012795508,,,molecular layer|rest
FEZ1,0.07614445,0.08904214,-0.012897693,,,molecular layer|rest
RPS24,0.11605506,0.12922561,-0.013170555,,,molecular layer|rest
CFL1,0.1631428,0.1763211,-0.013178304,,,molecular layer|rest
CTSD,0.091744624,0.104943454,-0.01319883,,,molecular layer|rest
CALM3,0.14228721,0.15554962,-0.013262406,,,molecular layer|rest
SHC4,0.08921315,0.10273515,-0.013521999,,,molecular layer|rest
GALNTL6,0.14071026,0.1545227,-0.013812438,,,molecular layer|rest
NPTN,0.13225405,0.14607812,-0.013824075,,,molecular layer|rest
HNRNPK,0.099970035,0.11382402,-0.013853982,,,molecular layer|rest
DDX5,0.08120371,0.09510031,-0.013896607,,,molecular layer|rest
TTC28,0.06859546,0.082536995,-0.013941534,,,molecular layer|rest
CKB,0.80855477,0.8225548,-0.014000058,,,molecular layer|rest
PPP3CA,0.18230793,0.19639447,-0.0140865445,,,molecular layer|rest
ZFPM2,0.16720788,0.18132327,-0.014115393,,,molecular layer|rest
PPP1CB,0.07974302,0.09386666,-0.014123641,,,molecular layer|rest
MRPL20,0.08371714,0.09786388,-0.014146745,,,molecular layer|rest
CNN3,0.10814063,0.12231114,-0.014170505,,,molecular layer|rest
PGK1,0.086511634,0.1007594,-0.014247768,,,molecular layer|rest
COX6B1,0.19053425,0.2049314,-0.014397144,,,molecular layer|rest
NDRG2,0.7632185,0.7777679,-0.014549375,,,molecular layer|rest
MDH1,0.23418358,0.24881436,-0.01463078,,,molecular layer|rest
RBX1,0.11813176,0.13277929,-0.0146475285,,,molecular layer|rest
CALR,0.09828847,0.11311311,-0.014824644,,,molecular layer|rest
TAGLN3,0.08145175,0.09656289,-0.015111141,,,molecular layer|rest
BEX3,0.0976511,0.11285191,-0.015200809,,,molecular layer|rest
