gene,total,composition,within_celltype,pct_composition
ATOX1,0.0004967450299359193,0.001008010588329218,-0.0005112655583932986,202.9231351261335
ATP1A1,0.003279424987550861,0.005928466674730341,-0.0026490416871794804,180.77762709120043
ATP1B1,0.023014836782985867,0.025998227413871873,-0.002983390630886006,112.96290153615833
ATP1B3,0.008627828666936755,0.011804258223028817,-0.003176429556092063,136.81609450897722
ATP2A2,0.007099246574668256,0.009241415829035982,-0.002142169254367726,130.1745999640508
ATP5F1A,-0.004338748160378865,0.0010462316317710755,-0.00538497979214994,-24.11367503016624
ATP5F1B,0.003816787199821732,0.004804895541127231,-0.0009881083413054987,125.88848394145867
ATP5F1C,0.004505834907114678,0.00751890318071437,-0.003013068273599692,166.87036555294296
ATP5F1E,-0.021124685987181323,0.004213959246249892,-0.025338645233431215,-19.948032594694972
ATP5IF1,0.0017415380166642697,0.004787255483606848,-0.0030457174669425782,274.88664834181026
ATP5MC1,0.0025360409190155276,0.002809632529245951,-0.00027359161023042354,110.78813863684147
ATP5MC2,-0.023201706952731216,-0.011830833352682178,-0.011370873600049037,50.99121964080103
ATP5MC3,0.00908961415728332,0.01190065277542307,-0.0028110386181397513,130.92582995822022
ATP5ME,0.004661451930760146,0.005663687153049541,-0.0010022352222893948,121.50049463506876
ATP5MF,0.010909004806966612,0.009268601414552508,0.0016404033924141024,84.96285021923794
ATP5MG,-0.014807514006904453,-0.00884931665266829,-0.005958197354236164,59.76233855691123
ATP5MJ,0.002257896847222469,0.002944206769788526,-0.0006863099225660568,130.39598214640827
ATP5MK,0.0027056523182809426,0.0036523310579850976,-0.000946678739704155,134.9889279309041
ATP5PB,0.001084012024429457,0.002345829850401036,-0.0012618178259715788,216.40256727186264
ATP5PD,0.0017114862118079305,0.004743921515599633,-0.0030324353037917027,277.18140425965726
ATP5PF,0.0025625228753404913,0.004604645251498019,-0.0020421223761575274,179.6918691266779
ATP5PO,-0.003329312529056003,-0.00035930288203074156,-0.0029700096470252615,10.79210434271302
ATP6AP1,0.005423533776366114,0.005812318251865069,-0.000388784475498955,107.1684715451233
ATP6AP2,0.004175467780602368,0.006232793388996764,-0.0020573256083943957,149.2717395150777
ATP6V0B,0.012831807800688603,0.012875658536150218,-4.3850735461615554e-05,100.34173466547139
ATP6V0D1,0.0013457283681079994,0.002622510961204736,-0.0012767825930967364,194.87669453619412
ATP6V0E1,-0.0023829333315328865,0.0036713203513550584,-0.006054253682887945,-154.06727090402407
ATP6V1E1,0.0038612053485821067,0.003293755970966182,0.0005674493776159249,85.30382804363666
ATP6V1F,0.0037558724934760126,0.0033371163291912543,0.00041875616428475843,88.85062884823321
ATP6V1G1,-0.0004591229367430349,0.002779101819798851,-0.003238224756541886,-605.3066831105147
ATRAID,0.0005079080423018912,0.003960711516410736,-0.0034528034741088446,779.8087816173153
ATXN1,0.0031890888815921084,-0.000658411364963694,0.0038475002465558025,-20.64575147980797
ATXN10,0.002723102649528638,0.003233625993276402,-0.0005105233437477638,118.74785527589768
ATXN2L,0.0021446500358632764,0.0021242976847872905,2.0352351075985812e-05,99.05101761426575
B2M,-0.09780869845422971,-0.03109160160566847,-0.06671709684856124,31.788176406639344
B4GALT1,0.007717770318481588,0.006776070159623124,0.000941700158858464,87.79828732913451
BANF1,0.008646149293319055,0.011560062099817737,-0.002913912806498682,133.70185625582806
BASP1,0.022635990152413615,0.008286177719473847,0.014349812432939767,36.606208359700645
BAX,0.0026698489056893927,0.002211326881474469,0.0004585220242149236,82.82591860393961
BAZ1A,0.017920039030853405,0.013191466562221737,0.004728572468631668,73.61293432179271
BCAP31,0.008387746132874442,0.012396571750680714,-0.004008825617806273,147.79383584458182
BCL11B,-0.012660248655435885,-0.0051205380970883,-0.007539710558347586,40.445794047573564
BCYRN1,0.08359821634611792,0.0229183690021142,0.060679847344003716,27.414901900808882
BGN,0.006531632514950228,0.00919027614826173,-0.002658643633311502,140.70412147692238
BIRC6,0.00041375610841985267,-0.0012667094781421806,0.0016804655865620332,-306.14882834715917
BMAL2,0.028027533202593283,0.02364566258016149,0.004381870622431792,84.36583558475151
BRD2,-0.002253862004462745,0.00026615001843298923,-0.002520012022895734,-11.808620843068502
BRD4,-0.0008471992926989871,0.0010271284104871286,-0.0018743277031861157,-121.23811001009311
BRI3,0.0038638294996814456,0.005656754776979611,-0.001792925277298165,146.40280523366738
BRK1,-0.005795940148019853,-0.00046500629771669376,-0.005330933850303159,8.022965831963608
BSG,0.010656199193504535,0.010566024878261556,9.017431524297912e-05,99.15378538252226
BST2,0.00811725144133276,0.009506609841584867,-0.001389358400252107,117.11611880318925
BTF3,-0.017352272467728712,-0.00792207782599097,-0.00943019464173774,45.65441120593419
BTG1,-0.01948258674714163,-0.013262237856622585,-0.006220348890519044,68.07226385668906
BTG2,-0.005102745197212719,-0.004009132853468285,-0.001093612343744434,78.56815691401171
BUB3,-0.0008151201341086392,0.0001391011613859558,-0.000954221295494595,-17.06511170136504
BZW1,0.00519364329343294,0.006702542462160982,-0.0015088991687280423,129.05280712358427
C11orf58,-0.0031513458385296583,-0.0010757307489626861,-0.002075615089566972,34.13559806132215
C12orf57,-0.013117268747019663,-0.006017178965284952,-0.0071000897817347095,45.87219398590197
C19orf53,-0.0019174397985715634,0.0009592358246699514,-0.002876675623241515,-50.02690699257177
C1QA,-0.008677102334929646,-0.0015394784874378465,-0.007137623847491798,17.741850078691375
C1QB,-0.008475907101017853,0.0008730588042725682,-0.009348965905290421,-10.300476325038112
C1QC,-0.011260681012266675,-0.0013596675076310025,-0.009901013504635672,12.074469618221727
C1R,-0.0020651650893084416,0.003628773333876017,-0.005693938423184459,-175.71347456251928
C1S,-0.0056624521497246815,0.001424926761660803,-0.0070873789113854845,-25.16448217103407
C1orf43,0.0030782186411204525,0.004931345020564174,-0.0018531263794437213,160.20125908824966
C4orf3,0.002401360594677085,-0.00034421822655397467,0.0027455788212310595,-14.334299784754412
C6orf62,-0.005422159100532019,-0.002513193965192029,-0.0029089651353399896,46.35042828133605
C7orf50,0.006199698206004335,0.008373572833875355,-0.00217387462787102,135.0642007987687
C9orf78,0.0004811669721723477,0.0010208283387755186,-0.0005396613666031709,212.1567767144814
CAB39,0.0005008205236555073,0.0005391118924222837,-3.829136876677648e-05,107.64572675402484
CALD1,0.011385653414507962,0.007760187571609024,0.003625465842898938,68.15759525685849
CALM1,-0.004218471718886366,-0.004156931242787832,-6.154047609853322e-05,98.54116655984647
CALM2,0.00467713686519914,0.005787199959229293,-0.0011100630940301527,123.73381677773267
