gene,mean_bulge,mean_dent,lfc
PTK2,0.11509792,0.08779823,0.027299687
COL1A1,0.57056123,0.5432884,0.02727282
VEGFA,0.08329041,0.056636836,0.026653577
CXCL14,0.1513783,0.1247906,0.026587702
TRPM3,0.85454005,0.8280318,0.026508272
DSG2,0.15163854,0.12532167,0.026316866
FAM177A1,0.24107692,0.21476161,0.026315302
MMP12,0.11129921,0.08527083,0.02602838
AHNAK,0.25565034,0.2303075,0.025342837
HIF1A,0.22055657,0.19523256,0.025324017
SDC4,0.14311525,0.11783309,0.02528216
S100A9,0.62610286,0.6011867,0.024916172
RAC1,0.3625996,0.3377937,0.024805903
SEMA4B,0.097011596,0.0723927,0.024618894
MT-RNR2,2.363429,2.3394082,0.02402091
MAF,0.098385826,0.074432276,0.02395355
PYGL,0.09130917,0.06763392,0.023675248
MYL12A,0.21710277,0.1935326,0.023570165
GUK1,0.17964317,0.15609194,0.023551226
ITGB1,0.1733204,0.15002358,0.023296818
ITGA5,0.07223953,0.048955984,0.023283549
PKM,0.25992188,0.23684733,0.023074552
LAMB3,0.18218425,0.15934928,0.022834972
CITED4,0.07666229,0.05403909,0.022623196
IFI27,0.36101344,0.33851537,0.022498071
COL5A1,0.13149334,0.109103575,0.02238977
CTSB,0.2016568,0.17937927,0.022277534
IL24,0.22591753,0.20368005,0.02223748
SHANK2,0.16257696,0.14061947,0.021957487
PLAU,0.109888054,0.08824306,0.021644995
PPP1R14B,0.250524,0.22888629,0.021637723
C4orf3,0.097057216,0.075696565,0.02136065
S100A7,0.15352724,0.13246486,0.021062389
DDIT4,0.04076683,0.019864973,0.020901859
DSC2,0.24513309,0.22443496,0.02069813
PLIN2,0.07127701,0.050681,0.020596009
FN1,0.16805057,0.1476042,0.020446375
NDRG1,0.04814869,0.027741179,0.020407513
CD44,0.22281562,0.20252655,0.020289063
MACF1,0.1520064,0.1318412,0.020165205
MXRA7,0.12383436,0.10370561,0.02012875
NFKBIA,0.20711008,0.1872229,0.01988718
CLTB,0.16593938,0.14617734,0.01976204
ENSG00000290977,0.068107456,0.048470445,0.019637011
PMEPA1,0.17638803,0.15677087,0.019617155
CAV1,0.11673912,0.0972011,0.019538015
PLEKHG3,0.13279216,0.11325931,0.019532852
LMNA,0.1716994,0.1521736,0.019525811
PDLIM7,0.10736759,0.08789796,0.019469634
IER3,0.07062331,0.051442098,0.01918121
MYL12B,0.41361576,0.39446345,0.019152313
IGFBP3,0.051991012,0.032952387,0.019038625
VAPA,0.1591811,0.14064908,0.018532023
PGF,0.04115555,0.022730444,0.018425107
HK2,0.050209917,0.031842213,0.018367704
ANXA1,0.17290266,0.15464577,0.018256888
ENSG00000254687,0.5044525,0.4862282,0.018224329
DDX17,0.17400126,0.15592234,0.018078923
DST,0.11970272,0.10169669,0.018006027
SH3BGRL3,0.1747682,0.15699835,0.017769843
PGK1,0.1454731,0.12770595,0.017767146
S100A16,0.236023,0.21839511,0.01762788
MYH9,0.2925904,0.27510113,0.017489284
S100A8,0.5833359,0.5658594,0.0174765
LAMTOR3,0.06253644,0.045089822,0.017446619
GJB3,0.10055629,0.083123416,0.017432876
ARF6,0.16375701,0.14662643,0.017130584
YWHAZ,0.45727727,0.44036418,0.016913086
VKORC1,0.11206892,0.095343,0.01672592
MIR31HG,0.09271344,0.076096684,0.016616754
GJA1,0.10799654,0.09159574,0.0164008
FGFR3,0.07554422,0.059242934,0.01630129
PLEC,0.093689635,0.07747951,0.016210124
RNF187,0.1341291,0.11801704,0.016112067
TPI1,0.19965394,0.18354428,0.01610966
NADSYN1,0.12356115,0.10758312,0.01597803
CAV2,0.092593715,0.076660536,0.015933178
ETS2,0.11357498,0.097661406,0.015913576
FRMD6,0.07168327,0.055775784,0.015907489
ITGB4,0.15130512,0.13542038,0.015884742
PPP4R1,0.10123557,0.085453495,0.015782073
SERINC2,0.08699523,0.07143614,0.015559092
MKNK2,0.0813203,0.06579098,0.01552932
SLC16A1,0.065700136,0.050175022,0.015525114
TMSB4X,0.82107836,0.80564505,0.015433311
YWHAE,0.21432103,0.19892083,0.015400201
CAPN2,0.11010179,0.09473496,0.01536683
PPP1CB,0.11740972,0.102155514,0.015254207
CA9,0.04310279,0.027858453,0.015244337
CCNL2,0.09304393,0.07792278,0.0151211545
NEAT1,0.20552723,0.19042392,0.01510331
DAAM1,0.074511506,0.059494767,0.015016738
P4HA2,0.08838044,0.07337278,0.01500766
NREP,0.08629816,0.07132234,0.014975823
TP63,0.16175191,0.14680457,0.01494734
CAP1,0.16512738,0.1502075,0.014919877
LOXL2,0.057557315,0.04264084,0.014916476
CMIP,0.13194457,0.11705048,0.014894091
BNIP3,0.041904602,0.027043303,0.014861299
DUSP6,0.08935867,0.07477254,0.014586136
TNNT1,0.09307632,0.07849418,0.014582135
S100A14,0.14274056,0.12818567,0.014554888
PTPRF,0.19778481,0.18335041,0.014434397
PKP1,0.15812042,0.14378443,0.01433599
H2AZ1,0.1845902,0.17027892,0.014311284
BGN,0.09877722,0.084520936,0.014256284
PLAUR,0.08028686,0.06606275,0.014224112
ACKR3,0.09064427,0.07642835,0.014215924
GNAS,0.24181558,0.22761258,0.014202997
MT-TV,0.25239062,0.23827876,0.014111862
PDGFA,0.07020743,0.05627376,0.0139336735
SEC61G,0.19902584,0.18525937,0.013766468
FOS,0.11304086,0.099279225,0.013761632
MT1X,0.0911634,0.07751293,0.0136504695
CAMK2N1,0.072325155,0.058687914,0.013637241
NECTIN4,0.04905691,0.035504375,0.013552535
PRNP,0.14606273,0.13253851,0.013524219
FHL2,0.062005,0.048545063,0.013459936
TMEM59,0.1433261,0.12989749,0.013428614
UPP1,0.057493556,0.044182558,0.013310999
TTYH3,0.067853376,0.05459106,0.013262317
CDKN1A,0.0869525,0.07375762,0.013194881
LPCAT1,0.08608913,0.07291683,0.013172299
PFKFB3,0.061179034,0.048015453,0.0131635815
ITGA3,0.07851021,0.06541219,0.013098016
KTN1,0.08691338,0.07388629,0.013027087
TPPP3,0.06252713,0.04974847,0.012778658
